Sub-cate,Merchant id,Merchant name,App id,Date,TPV,Transaction,Transaction type,SOF
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-01,3647946,63,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-01,3223987,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-01,478959,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-01,1373931,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-02,3357456,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-02,2967257,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-02,440819,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-02,1264524,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-03,3347974,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-03,2958878,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-03,439574,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-03,1260953,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-04,3335880,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-04,2948189,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-04,437986,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-04,1256397,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-05,3289351,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-05,2907067,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-05,431877,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-05,1238873,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-06,3448351,59,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-06,3047589,52,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-06,452753,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-06,1298758,23,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-07,3642480,63,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-07,3219156,55,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-07,478241,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-07,1371873,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-08,3681115,64,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-08,3253301,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-08,483314,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-08,1386424,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-09,3241533,56,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-09,2864807,50,VietQR,
